gene_set,candidate_set,prediction_method,aupr_median
immune,all_pairs,genie3,0.00190862
immune,all_pairs,grnboost2,0.00293003
immune,all_pairs,pearson,5.31693e-05
immune,all_pairs,random,2.02806e-05
immune,all_pairs,scgpt_attention,1.82146e-05
immune,all_pairs,spearman,5.23449e-05
immune,tf_sources,genie3,0.00295773
immune,tf_sources,grnboost2,0.00395385
immune,tf_sources,pearson,0.00341764
immune,tf_sources,random,0.0014824
immune,tf_sources,scgpt_attention,0.00124128
immune,tf_sources,spearman,0.00333066
immune,tf_sources_targets,genie3,0.00847988
immune,tf_sources_targets,grnboost2,0.0104501
immune,tf_sources_targets,pearson,0.0134031
immune,tf_sources_targets,random,0.00889364
immune,tf_sources_targets,scgpt_attention,0.00737991
immune,tf_sources_targets,spearman,0.0144568
kidney,all_pairs,genie3,0.0247065
kidney,all_pairs,grnboost2,0.0255466
kidney,all_pairs,pearson,0.000603619
kidney,all_pairs,random,9.11127e-05
kidney,all_pairs,scgpt_attention,1.82309e-05
kidney,all_pairs,spearman,0.000643915
kidney,tf_sources,genie3,0.0257991
kidney,tf_sources,grnboost2,0.026664
kidney,tf_sources,pearson,0.0277428
kidney,tf_sources,random,0.00443225
kidney,tf_sources,scgpt_attention,0.00109844
kidney,tf_sources,spearman,0.0295816
kidney,tf_sources_targets,genie3,0.0285428
kidney,tf_sources_targets,grnboost2,0.0289758
kidney,tf_sources_targets,pearson,0.0338722
kidney,tf_sources_targets,random,0.0116695
kidney,tf_sources_targets,scgpt_attention,0.00498759
kidney,tf_sources_targets,spearman,0.0373398
lung,all_pairs,genie3,0.025021
lung,all_pairs,grnboost2,0.0250927
lung,all_pairs,pearson,0.000349634
lung,all_pairs,random,0.000102654
lung,all_pairs,scgpt_attention,2.64444e-05
lung,all_pairs,spearman,0.000345453
lung,tf_sources,genie3,0.0261742
lung,tf_sources,grnboost2,0.0264467
lung,tf_sources,pearson,0.0144858
lung,tf_sources,random,0.00457632
lung,tf_sources,scgpt_attention,0.00141981
lung,tf_sources,spearman,0.0143157
lung,tf_sources_targets,genie3,0.0256189
lung,tf_sources_targets,grnboost2,0.0254548
lung,tf_sources_targets,pearson,0.0203678
lung,tf_sources_targets,random,0.0122679
lung,tf_sources_targets,scgpt_attention,0.00933515
lung,tf_sources_targets,spearman,0.0194558
