gene_set,shift_from,shift_to,method_a,method_b,reversal,predicted_unstable,radius,quantile
immune,all_pairs,tf_sources,genie3,grnboost2,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,genie3,pearson,True,True,0.0095795405,0.5
immune,all_pairs,tf_sources,genie3,random,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,genie3,scgpt_attention,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,genie3,spearman,True,True,0.0095795405,0.5
immune,all_pairs,tf_sources,grnboost2,pearson,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,grnboost2,random,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,grnboost2,scgpt_attention,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,grnboost2,spearman,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,pearson,random,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,pearson,scgpt_attention,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,pearson,spearman,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,random,scgpt_attention,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,random,spearman,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources,scgpt_attention,spearman,False,True,0.0095795405,0.5
immune,all_pairs,tf_sources_targets,genie3,grnboost2,False,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,genie3,pearson,True,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,genie3,random,True,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,genie3,scgpt_attention,False,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,genie3,spearman,True,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,grnboost2,pearson,True,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,grnboost2,random,False,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,grnboost2,scgpt_attention,False,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,grnboost2,spearman,True,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,pearson,random,False,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,pearson,scgpt_attention,False,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,pearson,spearman,True,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,random,scgpt_attention,False,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,random,spearman,False,True,0.010255550899999999,0.5
immune,all_pairs,tf_sources_targets,scgpt_attention,spearman,False,True,0.010255550899999999,0.5
immune,tf_sources,tf_sources_targets,genie3,grnboost2,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,genie3,pearson,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,genie3,random,True,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,genie3,scgpt_attention,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,genie3,spearman,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,grnboost2,pearson,True,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,grnboost2,random,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,grnboost2,scgpt_attention,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,grnboost2,spearman,True,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,pearson,random,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,pearson,scgpt_attention,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,pearson,spearman,True,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,random,scgpt_attention,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,random,spearman,False,True,0.003366899999999997,0.5
immune,tf_sources,tf_sources_targets,scgpt_attention,spearman,False,True,0.003366899999999997,0.5
kidney,all_pairs,tf_sources,genie3,grnboost2,False,True,0.0021853052000000003,0.5
kidney,all_pairs,tf_sources,genie3,pearson,True,False,0.0021853052000000003,0.5
kidney,all_pairs,tf_sources,genie3,random,False,False,0.0021853052000000003,0.5
