metric,reference,policy_from,policy_to,method_a,method_b,method_pair,delta_from,delta_to,min_abs_margin,reversal
f1,dorothea_human,crosswalk,full_genes,attention_inferred,probe_attention,attention_inferred__probe_attention,-6.405643404493027e-05,-6.405643404493027e-05,6.405643404493027e-05,False
f1,dorothea_human,crosswalk,full_genes,attention_inferred,probe_consensus,attention_inferred__probe_consensus,-0.00014013601328479193,-0.00014013601328479193,0.00014013601328479193,False
f1,dorothea_human,crosswalk,full_genes,attention_inferred,probe_grad_input,attention_inferred__probe_grad_input,-6.83537419560895e-05,-6.83537419560895e-05,6.83537419560895e-05,False
f1,dorothea_human,crosswalk,full_genes,attention_inferred,probe_integrated_gradients,attention_inferred__probe_integrated_gradients,-9.246598350799192e-05,-9.246598350799192e-05,9.246598350799192e-05,False
f1,dorothea_human,crosswalk,full_genes,attention_inferred,probe_perturbation,attention_inferred__probe_perturbation,-9.648727135529191e-05,-9.648727135529191e-05,9.648727135529191e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_attention,probe_consensus,probe_attention__probe_consensus,-7.607957923986164e-05,-7.607957923986164e-05,7.607957923986164e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_attention,probe_grad_input,probe_attention__probe_grad_input,-4.297307911159233e-06,-4.297307911159233e-06,4.297307911159233e-06,False
f1,dorothea_human,crosswalk,full_genes,probe_attention,probe_integrated_gradients,probe_attention__probe_integrated_gradients,-2.8409549463061644e-05,-2.8409549463061644e-05,2.8409549463061644e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_attention,probe_perturbation,probe_attention__probe_perturbation,-3.243083731036164e-05,-3.243083731036164e-05,3.243083731036164e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_consensus,probe_grad_input,probe_consensus__probe_grad_input,7.178227132870241e-05,7.178227132870241e-05,7.178227132870241e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_consensus,probe_integrated_gradients,probe_consensus__probe_integrated_gradients,4.76700297768e-05,4.76700297768e-05,4.76700297768e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_consensus,probe_perturbation,probe_consensus__probe_perturbation,4.36487419295e-05,4.36487419295e-05,4.36487419295e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_grad_input,probe_integrated_gradients,probe_grad_input__probe_integrated_gradients,-2.411224155190241e-05,-2.411224155190241e-05,2.411224155190241e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_grad_input,probe_perturbation,probe_grad_input__probe_perturbation,-2.813352939920241e-05,-2.813352939920241e-05,2.813352939920241e-05,False
f1,dorothea_human,crosswalk,full_genes,probe_integrated_gradients,probe_perturbation,probe_integrated_gradients__probe_perturbation,-4.021287847299999e-06,-4.021287847299999e-06,4.021287847299999e-06,False
f1,dorothea_human,crosswalk,legacy_symbols,attention_inferred,probe_attention,attention_inferred__probe_attention,-6.405643404493027e-05,-0.00012951661437570156,6.405643404493027e-05,False
f1,dorothea_human,crosswalk,legacy_symbols,attention_inferred,probe_consensus,attention_inferred__probe_consensus,-0.00014013601328479193,-0.00028334034856830154,0.00014013601328479193,False
f1,dorothea_human,crosswalk,legacy_symbols,attention_inferred,probe_grad_input,attention_inferred__probe_grad_input,-6.83537419560895e-05,-0.00013770107143110157,6.83537419560895e-05,False
f1,dorothea_human,crosswalk,legacy_symbols,attention_inferred,probe_integrated_gradients,attention_inferred__probe_integrated_gradients,-9.246598350799192e-05,-0.00018630492571680156,9.246598350799192e-05,False
