tissue_from,tissue_to,method_a,method_b,delta_from,delta_to,reversal
immune,kidney,genie3,grnboost2,-0.0028329999999999996,-0.0008599999999999997,False
immune,kidney,genie3,pearson,0.0030150000000000003,0.017633,False
immune,kidney,genie3,random,0.0049510000000000005,0.023651,False
immune,kidney,genie3,scgpt_attention,0.0051920000000000004,0.024702,False
immune,kidney,genie3,spearman,0.003102,0.017445000000000002,False
immune,kidney,grnboost2,pearson,0.005848,0.018493,False
immune,kidney,grnboost2,random,0.007784,0.024510999999999998,False
immune,kidney,grnboost2,scgpt_attention,0.008025000000000001,0.025562,False
immune,kidney,grnboost2,spearman,0.005934999999999999,0.018305000000000002,False
immune,kidney,pearson,random,0.001936,0.006018000000000001,False
immune,kidney,pearson,scgpt_attention,0.002177,0.007069000000000001,False
immune,kidney,pearson,spearman,8.699999999999984e-05,-0.00018799999999999893,True
immune,kidney,random,scgpt_attention,0.0002410000000000001,0.0010509999999999999,False
immune,kidney,random,spearman,-0.0018490000000000002,-0.006206,False
immune,kidney,scgpt_attention,spearman,-0.0020900000000000003,-0.0072569999999999996,False
immune,lung,genie3,grnboost2,-0.0028329999999999996,0.00017,True
immune,lung,genie3,pearson,0.0030150000000000003,0.012790000000000001,False
immune,lung,genie3,random,0.0049510000000000005,0.022148,False
immune,lung,genie3,scgpt_attention,0.0051920000000000004,0.0242,False
immune,lung,genie3,spearman,0.003102,0.01159,False
immune,lung,grnboost2,pearson,0.005848,0.012620000000000001,False
immune,lung,grnboost2,random,0.007784,0.021978,False
immune,lung,grnboost2,scgpt_attention,0.008025000000000001,0.02403,False
immune,lung,grnboost2,spearman,0.005934999999999999,0.01142,False
immune,lung,pearson,random,0.001936,0.009358,False
immune,lung,pearson,scgpt_attention,0.002177,0.01141,False
immune,lung,pearson,spearman,8.699999999999984e-05,-0.0012000000000000014,True
immune,lung,random,scgpt_attention,0.0002410000000000001,0.002052,False
immune,lung,random,spearman,-0.0018490000000000002,-0.010558000000000001,False
immune,lung,scgpt_attention,spearman,-0.0020900000000000003,-0.012610000000000001,False
kidney,lung,genie3,grnboost2,-0.0008599999999999997,0.00017,True
kidney,lung,genie3,pearson,0.017633,0.012790000000000001,False
kidney,lung,genie3,random,0.023651,0.022148,False
kidney,lung,genie3,scgpt_attention,0.024702,0.0242,False
kidney,lung,genie3,spearman,0.017445000000000002,0.01159,False
kidney,lung,grnboost2,pearson,0.018493,0.012620000000000001,False
kidney,lung,grnboost2,random,0.024510999999999998,0.021978,False
kidney,lung,grnboost2,scgpt_attention,0.025562,0.02403,False
kidney,lung,grnboost2,spearman,0.018305000000000002,0.01142,False
kidney,lung,pearson,random,0.006018000000000001,0.009358,False
kidney,lung,pearson,scgpt_attention,0.007069000000000001,0.01141,False
kidney,lung,pearson,spearman,-0.00018799999999999893,-0.0012000000000000014,False
kidney,lung,random,scgpt_attention,0.0010509999999999999,0.002052,False
kidney,lung,random,spearman,-0.006206,-0.010558000000000001,False
kidney,lung,scgpt_attention,spearman,-0.0072569999999999996,-0.012610000000000001,False
