reference_from,reference_to,method_a,method_b,method_pair,base_rate_from,base_rate_to,delta_from,delta_to,min_abs_margin,reversal
beeline_gsd,dorothea_trrust_union_immune,genie3,grnboost2,genie3__grnboost2,1.966524831063226e-06,0.0004745470232959448,7.450707877000497e-12,-0.0003197134660724,7.450707877000497e-12,True
beeline_gsd,dorothea_trrust_union_immune,genie3,pearson,genie3__pearson,1.966524831063226e-06,0.0004745470232959448,3.547221361062332e-11,0.000962173806589,3.547221361062332e-11,False
beeline_gsd,dorothea_trrust_union_immune,genie3,pidc_full,genie3__pidc_full,1.966524831063226e-06,0.0004745470232959448,-5.378012578500052e-10,0.0009933528516127,5.378012578500052e-10,True
beeline_gsd,dorothea_trrust_union_immune,genie3,pidc_proxy,genie3__pidc_proxy,1.966524831063226e-06,0.0004745470232959448,-9.021043791159301e-10,0.0009422395899134999,9.021043791159301e-10,True
beeline_gsd,dorothea_trrust_union_immune,genie3,random,genie3__random,1.966524831063226e-06,0.0004745470232959448,8.369193837023717e-11,0.000992265408147,8.369193837023717e-11,False
beeline_gsd,dorothea_trrust_union_immune,genie3,scenic_grnboost2,genie3__scenic_grnboost2,1.966524831063226e-06,0.0004745470232959448,-7.491644908774983e-10,0.0008499003401874999,7.491644908774983e-10,True
beeline_gsd,dorothea_trrust_union_immune,genie3,scenic_pruned,genie3__scenic_pruned,1.966524831063226e-06,0.0004745470232959448,-5.568226269931758e-10,0.0009847120036562,5.568226269931758e-10,True
beeline_gsd,dorothea_trrust_union_immune,genie3,spearman,genie3__spearman,1.966524831063226e-06,0.0004745470232959448,3.547221361062332e-11,0.000960821961044,3.547221361062332e-11,False
beeline_gsd,dorothea_trrust_union_immune,grnboost2,pearson,grnboost2__pearson,1.966524831063226e-06,0.0004745470232959448,2.802150573362282e-11,0.0012818872726614,2.802150573362282e-11,False
beeline_gsd,dorothea_trrust_union_immune,grnboost2,pidc_full,grnboost2__pidc_full,1.966524831063226e-06,0.0004745470232959448,-5.452519657270056e-10,0.0013130663176851,5.452519657270056e-10,True
beeline_gsd,dorothea_trrust_union_immune,grnboost2,pidc_proxy,grnboost2__pidc_proxy,1.966524831063226e-06,0.0004745470232959448,-9.095550869929306e-10,0.0012619530559858998,9.095550869929306e-10,True
beeline_gsd,dorothea_trrust_union_immune,grnboost2,random,grnboost2__random,1.966524831063226e-06,0.0004745470232959448,7.624123049323667e-11,0.0013119788742193999,7.624123049323667e-11,False
beeline_gsd,dorothea_trrust_union_immune,grnboost2,scenic_grnboost2,grnboost2__scenic_grnboost2,1.966524831063226e-06,0.0004745470232959448,-7.566151987544988e-10,0.0011696138062599,7.566151987544988e-10,True
beeline_gsd,dorothea_trrust_union_immune,grnboost2,scenic_pruned,grnboost2__scenic_pruned,1.966524831063226e-06,0.0004745470232959448,-5.642733348701763e-10,0.0013044254697285999,5.642733348701763e-10,True
beeline_gsd,dorothea_trrust_union_immune,grnboost2,spearman,grnboost2__spearman,1.966524831063226e-06,0.0004745470232959448,2.802150573362282e-11,0.0012805354271164,2.802150573362282e-11,False
beeline_gsd,dorothea_trrust_union_immune,pearson,pidc_full,pearson__pidc_full,1.966524831063226e-06,0.0004745470232959448,-5.732734714606285e-10,3.1179045023699986e-05,5.732734714606285e-10,True
beeline_gsd,dorothea_trrust_union_immune,pearson,pidc_proxy,pearson__pidc_proxy,1.966524831063226e-06,0.0004745470232959448,-9.375765927265535e-10,-1.9934216675500014e-05,9.375765927265535e-10,False
