tissue_from,tissue_to,method_a,method_b,method_pair,reversal_any_candidate,reversal_all_candidates,reversal_count,n_candidate_sets
immune,kidney,genie3,grnboost2,genie3__grnboost2,False,False,0,3
immune,kidney,genie3,pearson,genie3__pearson,False,False,0,3
immune,kidney,genie3,random,genie3__random,True,False,1,3
immune,kidney,genie3,scgpt_attention,genie3__scgpt_attention,False,False,0,3
immune,kidney,genie3,spearman,genie3__spearman,False,False,0,3
immune,kidney,grnboost2,pearson,grnboost2__pearson,True,False,1,3
immune,kidney,grnboost2,random,grnboost2__random,False,False,0,3
immune,kidney,grnboost2,scgpt_attention,grnboost2__scgpt_attention,False,False,0,3
immune,kidney,grnboost2,spearman,grnboost2__spearman,True,False,1,3
immune,kidney,pearson,random,pearson__random,False,False,0,3
immune,kidney,pearson,scgpt_attention,pearson__scgpt_attention,False,False,0,3
immune,kidney,pearson,spearman,pearson__spearman,True,False,2,3
immune,kidney,random,scgpt_attention,random__scgpt_attention,False,False,0,3
immune,kidney,random,spearman,random__spearman,False,False,0,3
immune,kidney,scgpt_attention,spearman,scgpt_attention__spearman,False,False,0,3
immune,lung,genie3,grnboost2,genie3__grnboost2,True,False,1,3
immune,lung,genie3,pearson,genie3__pearson,True,False,2,3
immune,lung,genie3,random,genie3__random,True,False,1,3
immune,lung,genie3,scgpt_attention,genie3__scgpt_attention,False,False,0,3
immune,lung,genie3,spearman,genie3__spearman,True,False,2,3
immune,lung,grnboost2,pearson,grnboost2__pearson,True,False,1,3
immune,lung,grnboost2,random,grnboost2__random,False,False,0,3
immune,lung,grnboost2,scgpt_attention,grnboost2__scgpt_attention,False,False,0,3
immune,lung,grnboost2,spearman,grnboost2__spearman,True,False,1,3
immune,lung,pearson,random,pearson__random,False,False,0,3
immune,lung,pearson,scgpt_attention,pearson__scgpt_attention,False,False,0,3
immune,lung,pearson,spearman,pearson__spearman,True,False,1,3
immune,lung,random,scgpt_attention,random__scgpt_attention,False,False,0,3
immune,lung,random,spearman,random__spearman,False,False,0,3
immune,lung,scgpt_attention,spearman,scgpt_attention__spearman,False,False,0,3
kidney,lung,genie3,grnboost2,genie3__grnboost2,True,False,1,3
kidney,lung,genie3,pearson,genie3__pearson,True,False,2,3
kidney,lung,genie3,random,genie3__random,False,False,0,3
kidney,lung,genie3,scgpt_attention,genie3__scgpt_attention,False,False,0,3
kidney,lung,genie3,spearman,genie3__spearman,True,False,2,3
kidney,lung,grnboost2,pearson,grnboost2__pearson,True,False,2,3
kidney,lung,grnboost2,random,grnboost2__random,False,False,0,3
kidney,lung,grnboost2,scgpt_attention,grnboost2__scgpt_attention,False,False,0,3
kidney,lung,grnboost2,spearman,grnboost2__spearman,True,False,2,3
kidney,lung,pearson,random,pearson__random,False,False,0,3
kidney,lung,pearson,scgpt_attention,pearson__scgpt_attention,False,False,0,3
kidney,lung,pearson,spearman,pearson__spearman,True,True,3,3
kidney,lung,random,scgpt_attention,random__scgpt_attention,False,False,0,3
kidney,lung,random,spearman,random__spearman,False,False,0,3
kidney,lung,scgpt_attention,spearman,scgpt_attention__spearman,False,False,0,3
